DATASET,OPTIMIZER,LOSS,MINI-BATCH SIZE,LEARNING RATE,TRAINING LOSS,TRAINING ACCURACY,TRAINING F1,VALIDATION LOSS,VALIDATION ACCURACY,VALIDATION F1,TOTAL TRAINING TIME,TEST LOSS,TEST ACCURACY,TEST F1,CONVERGED AT EPOCH
circle,sgd,mse,1,0.05,0.015827497976988517,0.9733333333333334,0.9733198820374097,0.006595731247216463,1.0,1.0,244.8671097755432,0.014311672188341618,0.986,0.9859949534596838,0.0022222222222222222
circle,sgd,mse,1,0.08340502686000296,0.016896510532174183,0.9677777777777777,0.967759650225478,0.00820249319076538,0.99,0.9899969972975677,295.6936037540436,0.014375396072864532,0.982,0.9819878826249504,0.0022222222222222222
circle,sgd,mse,1,0.1391279701103562,0.023722066125553717,0.9555555555555556,0.9555577514273167,0.0027208798564970493,1.0,1.0,316.6194648742676,0.022661376744508743,0.962,0.9620045618247299,0.0022222222222222222
circle,sgd,mse,1,0.23207944168063888,0.022917657867351806,0.9466666666666667,0.9464440856208339,0.014903116039931774,0.98,0.9799839743589743,327.6281089782715,0.03875291720032692,0.947,0.946776695355715,0.0022222222222222222
circle,sgd,mse,1,0.38713184134056344,0.01968896393505854,0.9455555555555556,0.9454763615286077,0.020170679315924644,0.96,0.9599036531513448,310.90329575538635,0.031152134761214256,0.952,0.9519491949451536,0.0022222222222222222
circle,sgd,mse,1,0.6457748325074419,0.02144412910745281,0.9577777777777777,0.9577401726318104,0.010750153101980686,0.98,0.9799839743589743,324.9043941497803,0.020085617899894714,0.97,0.9699723414745601,0.0022222222222222222
circle,sgd,mse,1,1.0772173450159417,0.026749660487168155,0.96,0.9600055313012387,0.034298788756132126,0.94,0.94,308.62171936035156,0.027887454256415367,0.964,0.9640057614749377,0.0022222222222222222
circle,sgd,mse,1,1.796906831902313,0.03872080737943719,0.9511111111111111,0.9510064379915846,0.016959285363554955,0.99,0.9899969972975677,310.4542865753174,0.04123173654079437,0.952,0.9518622751603415,0.0022222222222222222
circle,sgd,mse,1,2.9974212515947047,0.0542112692196789,0.9422222222222222,0.9421993936151238,0.021599899977445602,0.98,0.98,303.5039007663727,0.05844569578766823,0.941,0.9409417413079167,0.0022222222222222222
circle,sgd,mse,1,5.0,0.22788707048233922,0.7011111111111111,0.6755391865501189,0.1993827372789383,0.7,0.6723076923076923,311.91971373558044,0.1914387047290802,0.734,0.7157255317225615,0.0022222222222222222
circle,sgd,mse,2,0.05,0.019543324538839234,0.9888888888888889,0.9888874610854929,0.011876222677528858,0.99,0.9899969972975677,161.25798058509827,0.018372511491179466,0.988,0.9879967322224492,0.0044444444444444444
circle,sgd,mse,2,0.08340502686000296,0.016774676102341558,0.9844444444444445,0.9844398302640794,0.00725029269233346,1.0,1.0,165.17464423179626,0.014920520596206188,0.985,0.9849938866307976,0.022222222222222223
circle,sgd,mse,2,0.1391279701103562,0.016400360227522788,0.9677777777777777,0.9677417737801751,0.00979296863079071,1.0,1.0,161.6677544116974,0.016046054661273956,0.98,0.9799865362499449,0.022222222222222223
circle,sgd,mse,2,0.23207944168063888,0.018948033946517184,0.9644444444444444,0.9644222855333967,0.00791862327605486,0.98,0.9799839743589743,146.56521773338318,0.01550793182104826,0.978,0.9779851898749393,0.022222222222222223
circle,sgd,mse,2,0.38713184134056344,0.026913521510137074,0.9511111111111111,0.9509348877006055,0.006668242160230875,0.99,0.9899969972975677,146.86131048202515,0.028514670208096504,0.956,0.9558638126821425,0.017777777777777778
circle,sgd,mse,2,0.6457748325074419,0.021481130526748406,0.9511111111111111,0.951060300869218,0.015704363584518433,0.97,0.9699548872180452,146.62065434455872,0.025760533288121223,0.965,0.9649743676057029,0.022222222222222223
circle,sgd,mse,2,1.0772173450159417,0.022612095529328177,0.9566666666666667,0.9566517230112929,0.004506862722337246,1.0,1.0,154.2531292438507,0.022114375606179237,0.972,0.9719899069193675,0.0044444444444444444
circle,sgd,mse,2,1.796906831902313,0.02989041674755356,0.96,0.9599643740722414,0.004143131896853447,1.0,1.0,150.77021598815918,0.022128792479634285,0.971,0.9709583841009396,0.0044444444444444444
circle,sgd,mse,2,2.9974212515947047,0.03129600645121833,0.9566666666666667,0.9565388076997333,0.015156158246099949,0.99,0.9899969972975677,151.35434293746948,0.03391100466251373,0.961,0.9609007155230852,0.0044444444444444444
circle,sgd,mse,2,5.0,0.0545109704423411,0.9511111111111111,0.9511111111111111,0.035493165254592896,0.97,0.97000300030003,157.5430371761322,0.04468851163983345,0.959,0.9590043051076277,0.0044444444444444444
circle,sgd,mse,3,0.05,0.0240755173122993,0.9888888888888889,0.9888902061776452,0.016266055405139923,0.98,0.98,104.45658016204834,0.022483007982373238,0.991,0.9909986036581155,0.39
circle,sgd,mse,3,0.08340502686000296,0.018497581698081803,0.9866666666666667,0.9866638985553096,0.011792932637035847,0.99,0.9899969972975677,104.31357860565186,0.017121082171797752,0.987,0.9869958999774725,0.006666666666666667
circle,sgd,mse,3,0.1391279701103562,0.016455265134807138,0.9733333333333334,0.9733056186559371,0.009095129556953907,1.0,1.0,105.41623091697693,0.01664978638291359,0.979,0.9789820085673488,0.36666666666666664
circle,sgd,mse,3,0.23207944168063888,0.015830249358969452,0.9622222222222222,0.9621567251461989,0.005624691024422646,1.0,1.0,108.72177314758301,0.016486961394548416,0.978,0.9779825422017024,0.36666666666666664
circle,sgd,mse,3,0.38713184134056344,0.02299954920302453,0.9566666666666667,0.9566722842904489,0.006195251364260912,0.99,0.9900010001000099,109.35651731491089,0.0264911986887455,0.964,0.9640051856801604,0.36333333333333334
circle,sgd,mse,3,0.6457748325074419,0.026213973183351117,0.95,0.9498524704227692,0.030568253248929977,0.96,0.9599036531513448,99.73171639442444,0.03609352186322212,0.952,0.9518514320168827,0.08333333333333333
circle,sgd,mse,3,1.0772173450159417,0.017013451302342098,0.9666666666666667,0.9666458926875594,0.0015692920424044132,1.0,1.0,107.82199382781982,0.019023630768060684,0.973,0.9729833670399942,0.006666666666666667
circle,sgd,mse,3,1.796906831902313,0.020107055842602844,0.9733333333333334,0.9733364948263483,0.003485379507765174,1.0,1.0,109.49509310722351,0.013451365754008293,0.984,0.9839980782704434,0.006666666666666667
circle,sgd,mse,3,2.9974212515947047,0.031911179940620656,0.9466666666666667,0.9466635039237778,0.02070176787674427,0.97,0.9699909918927034,102.7695746421814,0.044121015816926956,0.946,0.9460077785202404,0.006666666666666667
circle,sgd,mse,3,5.0,0.03468082933908032,0.97,0.9699794096442012,0.012339068576693535,0.99,0.9900010001000099,99.71371459960938,0.03829902037978172,0.958,0.9579555455770093,0.006666666666666667
circle,sgd,mse,4,0.05,0.027428159468583745,0.9844444444444445,0.9844465958566654,0.018773213028907776,0.98,0.98,72.33756113052368,0.026762602850794792,0.989,0.9890002751719825,0.08444444444444445
circle,sgd,mse,4,0.08340502686000296,0.021422036437251615,0.9844444444444445,0.9844424455196903,0.0141168013215065,1.0,1.0,81.67968034744263,0.019509300589561462,0.992,0.9919990391352218,0.008888888888888889
circle,sgd,mse,4,0.1391279701103562,0.01799391166955595,0.9777777777777777,0.977763928458373,0.010765508748590946,0.99,0.9899969972975677,83.67515850067139,0.01716543734073639,0.984,0.9839910256410257,0.08444444444444445
