DATASET,OPTIMIZER,LOSS,MINI-BATCH SIZE,LEARNING RATE,TRAINING LOSS,TRAINING ACCURACY,TRAINING F1,VALIDATION LOSS,VALIDATION ACCURACY,VALIDATION F1,TOTAL TRAINING TIME,TEST LOSS,TEST ACCURACY,TEST F1,CONVERGED AT EPOCH
mnist,sgd,mse,1,0.05,0.029447842783455788,0.8,0.7511014447847509,0.03714822977781296,0.78,0.7083694083694083,352.22378635406494,0.035224415361881256,0.774,0.7104888035632231,0.0022222222222222222
mnist,sgd,mse,1,0.08340502686000296,0.010336176710088855,0.9933333333333333,0.9933338955028109,0.01953241229057312,0.92,0.9208997130507428,347.93924164772034,0.016653576865792274,0.946,0.9458028954259416,0.0022222222222222222
mnist,sgd,mse,1,0.1391279701103562,0.009890219872015991,0.9011111111111111,0.8669465964364924,0.018215054646134377,0.87,0.8267888565869451,351.0713622570038,0.016562964767217636,0.868,0.8275208165793561,0.0022222222222222222
mnist,sgd,mse,1,0.23207944168063888,0.00011234042194227865,0.9988888888888889,0.9988886229535444,0.006464105565100908,0.96,0.9593400167084377,349.50773215293884,0.00733380950987339,0.949,0.9489375627062999,0.06
mnist,sgd,mse,1,0.38713184134056344,0.02922255950477905,0.7077777777777777,0.648432420183902,0.03364836052060127,0.68,0.607090189241219,349.09890055656433,0.034290723502635956,0.682,0.6128805098264248,0.0022222222222222222
mnist,sgd,mse,1,0.6457748325074419,0.10000000149011612,0.09888888888888889,0.017798000224693855,0.10000000149011612,0.1,0.018181818181818184,907.1395959854126,0.10000000149011612,0.098,0.017493624772313296,0.04
mnist,sgd,mse,1,1.0772173450159417,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,907.5551908016205,,0.098,0.017493624772313296,0.0033333333333333335
mnist,sgd,mse,1,1.796906831902313,0.10000000149011612,0.09888888888888889,0.017798000224693855,0.10000000149011612,0.1,0.018181818181818184,901.4634685516357,0.10000000149011612,0.098,0.017493624772313296,0.0022222222222222222
mnist,sgd,mse,1,2.9974212515947047,0.10000000149011612,0.09888888888888889,0.017798000224693855,0.10000000149011612,0.1,0.018181818181818184,905.8969960212708,0.10000000149011612,0.098,0.017493624772313296,0.012222222222222223
mnist,sgd,mse,1,5.0,0.10000000149011612,0.09888888888888889,0.017798000224693855,0.10000000149011612,0.1,0.018181818181818184,351.06367230415344,0.10000000149011612,0.098,0.017493624772313296,0.0022222222222222222
mnist,sgd,mse,2,0.05,0.0647407076392685,0.5722222222222222,0.5558877150502917,0.16302932798862457,0.6,0.5862210161842515,665.3066792488098,0.19237728416919708,0.549,0.5297997092103593,0.0044444444444444444
mnist,sgd,mse,2,0.08340502686000296,0.08453476327264474,0.43555555555555553,0.3765022880554722,0.10419899970293045,0.47,0.40096378566966806,666.9374158382416,0.10301577299833298,0.451,0.39564039393800965,0.0044444444444444444
mnist,sgd,mse,2,0.1391279701103562,0.09569632744623555,0.2111111111111111,0.14167979204068157,0.1441003680229187,0.2,0.1242814549791294,668.9096956253052,0.17666128277778625,0.217,0.15580369518438258,0.0044444444444444444
mnist,sgd,mse,2,0.23207944168063888,0.10000000149011612,0.09222222222222222,0.016905824465041765,0.10117597132921219,0.1,0.01851851851851852,670.6492807865143,0.10040469467639923,0.096,0.017552238805970153,0.006666666666666667
mnist,sgd,mse,2,0.38713184134056344,0.10000000149011612,0.10222222222222223,0.02456270524171759,0.1002223938703537,0.1,0.01851851851851852,664.9822914600372,0.09998103976249695,0.1,0.021599594285669703,0.0044444444444444444
mnist,sgd,mse,2,0.6457748325074419,0.10000000149011612,0.08444444444444445,0.019467526767237897,0.10379022359848022,0.06,0.0116504854368932,668.4383654594421,0.10642817616462708,0.08,0.019865388705080422,0.008888888888888889
mnist,sgd,mse,2,1.0772173450159417,0.10000000149011612,0.09555555555555556,0.01733831691018235,0.10000000149011612,0.1,0.018181818181818184,668.984671831131,0.10246641933917999,0.087,0.015803521779425393,0.0044444444444444444
mnist,sgd,mse,2,1.796906831902313,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,669.5291368961334,,0.098,0.017493624772313296,0.013333333333333334
mnist,sgd,mse,2,2.9974212515947047,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,672.9660265445709,,0.098,0.017493624772313296,0.008888888888888889
mnist,sgd,mse,2,5.0,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,665.8478503227234,,0.098,0.017493624772313296,100.0
mnist,sgd,mse,3,0.05,0.005444596724172323,0.8988888888888888,0.8973810861465311,0.03744296729564667,0.87,0.8645160249107617,176.47126579284668,0.042821284383535385,0.871,0.8702737032248399,0.006666666666666667
mnist,sgd,mse,3,0.08340502686000296,0.009085207386427404,0.8411111111111111,0.8427035113057301,0.045503392815589905,0.85,0.8486670480549199,181.6153531074524,0.05354759469628334,0.83,0.8297403558081858,0.006666666666666667
mnist,sgd,mse,3,0.1391279701103562,0.04044646460796602,0.5577777777777778,0.4918553856630668,0.058819543570280075,0.55,0.4917502532928065,176.13177394866943,0.06226285547018051,0.54,0.4764935561182799,0.006666666666666667
mnist,sgd,mse,3,0.23207944168063888,0.010626161595095406,0.8511111111111112,0.8520903838744198,0.04186089336872101,0.82,0.8173531997085637,176.45928144454956,0.04927545040845871,0.856,0.8553559496676567,0.006666666666666667
mnist,sgd,mse,3,0.38713184134056344,0.07478139229071681,0.35,0.26596900071031593,0.08463501185178757,0.33,0.2473732753732754,398.86740946769714,0.08813367784023285,0.341,0.26153816141644687,0.23
mnist,sgd,mse,3,0.6457748325074419,0.10000000149011612,0.09888888888888889,0.019896849021085274,0.10004568845033646,0.1,0.01834862385321101,176.90175604820251,0.10027024894952774,0.099,0.019538356068063565,0.006666666666666667
mnist,sgd,mse,3,1.0772173450159417,0.10000000149011612,0.09777777777777778,0.02727824858757062,0.10242628306150436,0.09,0.016981132075471698,177.79123425483704,0.10587609559297562,0.093,0.022344369761845492,0.01
mnist,sgd,mse,3,1.796906831902313,0.10000000149011612,0.1,0.022067822404028683,0.17236340045928955,0.1,0.018691588785046728,175.28926849365234,93.05390167236328,0.1,0.02145046968763451,100.0
mnist,sgd,mse,3,2.9974212515947047,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,179.384779214859,,0.098,0.017493624772313296,100.0
mnist,sgd,mse,3,5.0,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,176.9946129322052,,0.098,0.017493624772313296,0.01
mnist,sgd,mse,4,0.05,0.0022226870157619465,0.9522222222222222,0.9521792799445031,0.020125525072216988,0.91,0.9089324333852535,154.97904133796692,0.02050534263253212,0.907,0.9070676739564066,0.008888888888888889
